categories,name,reviews.rating,reviews.text,reviews.title,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5,Tag_6,Wine & Spirits,Cocktail Mixers,Wine,Spirits,Meal Solutions,Drinks,Juice & Cider,Cocktail Mixes
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",California Roots Pinot Grigio White Wine - 750ml,2.0,I'm not sure if this is a bad bottle or if it was intentionally made effervescent. I don't want bubbles when I drink Pinot Grigio. Goes well with mozzarella string cheese and Cinemasins.,Fizzy Pinot Grigio?,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Beer",Sancho Libre174 Peach - 4pk / 12oz Cans,5.0,"Obsessed with this new drink----However, it has been sold out at every Target I have been to lately :(",Obsessed,Food & Beverage,Beverages,Wine,Beer & Liquor,Beer,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Modern House174 With Love Red Blend - 750ml Bottle,5.0,"This is an excellent red wine, not to dry and not real sweet. More of a red blend. Great go with anything anytime. In the right price point as other known brands on the market.",Great Wine,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Estancia174 Cabernet Sauvignon - 750ml Bottle,5.0,One of the best Cabernets I had in quite sometime......!!!!!!,Excellent Cab......!!!!!!!,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Voga Italia174 Pinot Grigio - 750ml Bottle,5.0,"This is a great buy for the price. Someone had given me a bottle and I liked the look of it so much that I didn't want to open it. Had no idea it was so nicely priced and so easily available. Finally opened it when I was in a bind, needing white wine for a favorite holiday recipe and this was all I had on hand. It's a nice, smooth Pinot, very nice flavor, pleasurable to the palate. What I especially love about this brand, however, is the bottle itself! Screw off the black top and there is a smaller neck with a cork closure. The beauty is that the black cap is designed so that it will reseal the bottle without the cork needing to be squeezed back in...a really thoughtful design. I almost hate to admit how much I was impressed by it! Will be stopping by Target specifically to buy more to have in the house. Highly recommend.",Highly Recommended,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Beer",Michelob174 Ultra Light Cider Beer - 6pk / 12oz Bottles,5.0,Gluten free plus lower on calories plus very refreshing!,Michelob Ultra Light Cider,Food & Beverage,Beverages,Wine,Beer & Liquor,Beer,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Cabernet Shiraz - 3l Bottle - Wine Cube153,5.0,Best of the bunch of all of The wine Cube sku's. Target Wine Buyer: please bring back!,Please Don't Discontinue This Flavor Combination!,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Cabernet Sauvignon - 3l Bottle - Wine Cube153,3.0,"I like the wine and I like the idea of a sealed cube during the week when only drinking a glass or two at a time. But when they re-sized the box a few months ago, it made it impossible to open and setup properly. While I applaud Target for reducing the packaging, this just isn't working.",Wine Is Good - The Cube Is Not,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Risata174 Moscato D'asti - 750ml Bottle,5.0,"I have tried my share of Moscato D' Astis before, this has to be the smoothest that I have ever tried. Not too sweet or too fizzy but perfect. I got it for the pretty bottle but was very surprised about the taste. Try it, you won't be disappointed.",Could Not Believe The Taste,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Barefoot174 Refresh Perfectly Pink - 750ml Bottle,5.0,"Highly, highly recommend!! It's sweet but not syrupy- just right! And I love that it's bubbly, I don't have to mix my wine with seltzer anymore!",My New Fave!,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Beer",Tecate174 Beer - 12pk / 12oz Bottles,5.0,My favorite bottle design. The best cheap lager.,,Food & Beverage,Beverages,Wine,Beer & Liquor,Beer,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Beer",Bud Light174 Raz-Ber-Rita - 12pk / 8oz Cans,5.0,Delicious. I hate all the other flavors but this one tastes great. Now if I can only find it in the store.,,Food & Beverage,Beverages,Wine,Beer & Liquor,Beer,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",California Roots Cabernet Sauvignon Red Wine - 750ml,5.0,"This wine is amazing! I'm an avid wine drinker (mom life) and I'll continue to buy this for sure. For 5 it's a steal! Keep this around please, it's just another reason to love target!",Who Can Say No To Awesome $5 Wine,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Middle Sister174 Red Blend - 750ml Bottle,5.0,Love it that it's not too dry or overly sweet. Also has a good balance of alcohol.,Good Wine For Beginners...,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Robert Mondavi Private Selection174 Bourbon Cabernet Sauvignon - 750ml Bottle,5.0,This wine was sooooo good. I usually don't like Cabernet but this special fermented wine is very tasty. It did not stay around too long.LOL.,Fantastic Wine,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Riesling - 3l Bottle - Wine Cube153,5.0,Some of the best boxed wine I have ever tasted. Great taste and great value.,The Cube Riesling,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Risata174 Pink Moscato - 750ml Bottle,5.0,Love this Moscato and will be purchasing more on my next Target run. Let it chill in the fridge and enjoy on a hot summer day.,Perfect For Summer,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Middle Sister174 Moscato - 750ml Bottle,4.0,Had my sissies (sistafriends) over for dinner/planning meeting....and they're still talking about the loving fellowship and the great wine! I hope the store has more than 1 bottle left on its shelves!!!,We Loved It!,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Love Noir174 Ros233 - 750ml Bottle,5.0,Great fruity dry rose!,Yum!,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Handsome Devil174 Malbec - 750ml Bottle,5.0,"Is this the greatest wine in the world, of course not. It is an eminently drinkable wine,as a matter of fact it is my preferred, and go to, table wine. Wine is a personal thing but for me it is my 1 pick in the under 10 category. It is well balanced, subtle, and very easy to sip. Dry without being overpowering. It is not a big bad Cabernet but it is not that in a good way. Goes great by itself or paired with cheese or a dish sauced with something heavier like a bernaise. I always have a bottle on my shelf.",An Outstanding Table Wine,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Apothic174 White Blend - 750ml Bottle,5.0,"Delicious white wine! Light, crisp, not too sweet. Almost too good.",New Go To White,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Pinot Noir - 3l Bottle - Wine Cube153,1.0,Just bad wine. The worst I have ever had. Try Bota Box Sarah is you are looking for a decent boxed wine.,No No No No No.... No,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Love Noir174 Pinot Noir - 750ml Bottle,5.0,"I am no wine expert by any means, but I love a good red for dinner or a cold night. This is the ticket. Rich, dark, fruity! Just lovely. The hubby liked it too!",Love This Love Noir,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Promisqous174 Red Blend - 750ml Bottle,5.0,Best wine I ever tasted,Best Wine I Ever Tasted,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Chardonnay - 3l Bottle - Wine Cube153,5.0,"not fruity, very satisfying. my go to chardonnay! excellent product - would expect to pay 10 / bottle for this quality",Excellent Chardonnay,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Red Blend - 500ml Bottle - Wine Cube153,5.0,"Picked some up on a trip to the beach as they are portable non breakable and priced right! I didn't know what to expect, honestly, my expectations were not too high, being boxed wine and all. I was pleasantly surprised! It is very drinkable delicious! When I got home I returned to Target to get the large wine cube box for at home enjoyment!",Vintner's Red Boxed Wine,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Sauvignon Blanc - 3l Bottle - Wine Cube153,5.0,"By far the best boxed wine I've found, and comparable to medium-priced bottled sauvignon blancs. A great buy.",Great Sauvignon Blanc Even Compared To Medium-Priced Bottles,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Sauvignon Blanc - 3l Bottle - Wine Cube153,5.0,"By far the best boxed wine I've found, and comparable to medium-priced bottled sauvignon blancs. A great buy.",Great Sauvignon Blanc Even Compared To Medium-priced Bottles,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",California Roots Chardonnay White Wine - 750ml,2.0,"Taste was absolutely fine for a 5 Chardonnay. However, BOTH bottles broke while removing the corkscrew. Second break was far enough I didn't want to risk drinking it because of risk of glass shards. I've bought cheaper wines like yellowtail, etc, and NEVER experienced a bottle breaking.",,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",California Roots Chardonnay White Wine - 750ml,4.0,"I didnt find this to be sweet at all, but everyones taste differs. I usually dont like sweet wines so I gravitate towards Chardonnay and some Sauvignon Blancs and I felt like this one had more of a buttery taste than a sweet citrusy taste like another reviewer stated. For the price, this is definitely a keeper.",Great Wine For The Price.,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Red Blend - 3l Bottle - Wine Cube153,5.0,My boyfriend brought this home on a whim. We were delighted at how tasty it was. Lasted us a couple weeks - even better!,Love It!,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Spirits",Disaronno174 Almond Liqueur - 750ml Bottle,4.0,I love Disaronno. It has a smooth texture and the flavor is lightly sweet. It's decadent on the rocks or with a little cream.,Delicious!,Food & Beverage,Beverages,Wine,Beer & Liquor,Spirits,,0,0,1,1,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Pinot Grigio - 500ml Bottle - Wine Cube153,5.0,I'm surprised how good this is for the price! Tastes more like Sauvignon blanc to me...,Great For The Price,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",California Roots Red Blend Wine - 750ml,5.0,"Nice, light wine - I was not sure what to expect but was surprised how well it tasted for a 5 bottle.",,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Chardonnay - 1l Bottle - Wine Cube153,4.0,"For as much as we drink white wine, I needed to find a budget bottle. We'd been doing 6-7 dollar bottles, but this beats that. And it's pretty good! You won't impress anyone with this, but for a Monday-Thursday, home and on a budget drinking, this is good.",Pretty Good For Wine In A Box!,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Fancy Pants174 Cabernet Sauvignon - 750ml Bottle,5.0,"I served this and all the different varieties at a party. My guests and I loved them all. Since I am not a wine expert, I will simply give you some of the notes on this variety from the Fancy Pants website: ...a robust and rich palate with ripe berries, red fruit, and toasty oak flavors. Cherries and vanilla spice on the mouth lead to a long, lingering finish.",This Wine Made My Party!,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Beringer174 Be. Flirty Pink Moscato - 750ml Bottle,5.0,"I tried Beringer, who makes this, Pink Moscato, had no trouble opening it up with a Corkscrew, one which I just bought from Target in-store, really like its sweet, fruity flavor pink looking wine. I plan to stock up for the Holidays.",Tried The Past Type & It's My Favorite So This Should Be Great!,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine",Fancy Pants174 Red Blend - 750ml Bottle,5.0,"If you like a fruit forward blend of reds with a very smooth finish and jammy taste, you will love this! I think my 9 year search for my favorite red wine has ended!",A Scrumptious Red!,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine,Target Finds",Josh Cellars174 Ros233 - 750ml Bottle,5.0,"This is a dry Rose, not sweet at all which is perfect for summer!",Refreshing Rose!,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,Target Finds,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine,Target Finds",Sofia Rose 750ml Bottle,5.0,"A wonderful dry wine, and the taste is just divine!",Favorite Rosé,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,Target Finds,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine,Target Finds",Sofia Rose 750ml Bottle,5.0,"A wonderful dry wine, and the taste is just divine!",Favorite Ros��,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,Target Finds,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Hard Ciders",Strongbow174 Gold Apple Hard Cider - 6pk / 11.2oz Bottles,5.0,Been looking for Strongbow in the US for years,Now That's Cider,Food & Beverage,Beverages,Wine,Beer & Liquor,Hard Ciders,,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Spirits,Malt Drinks",Spiked Seltzer174 Indian River Grapefruit - 6pk / 12oz Cans,5.0,"Refreshing, nice grapefruit flavor. Not for people that dislike seltzer water. It's good out of the can or poured over ice.",Refreshing,Food & Beverage,Beverages,Wine,Beer & Liquor,Spirits,Malt Drinks,0,0,1,1,0,1,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Spirits,Malt Drinks",Truly174 Colima Lime - 6pk / 12oz Bottles,5.0,"IT IS NOT SWEET,AND I LIKE THAT. IF YOU LIKE THE TASTE OF SPARKLING WATER WITH THE BENEFIT OF 5 ALCOHOL. THIS IS FOR YOU.",Here Are The Reasons I Like Truly,Food & Beverage,Beverages,Wine,Beer & Liquor,Spirits,Malt Drinks,0,0,1,1,0,1,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine,Food",Cupcake Vineyards174 Cabernet Sauvignon - 750ml Bottle,5.0,"Best Cabernet I've ever tasted, simple as that.","Best Cabernet I've Ever Tasted, Simple As That.",Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,Food,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Spirits,Malt Drinks",Truly174 Grapefruit Pomelo - 6pk / 12oz Bottles,5.0,so refreshing! LOVEIT!,I Love It!,Food & Beverage,Beverages,Wine,Beer & Liquor,Spirits,Malt Drinks,0,0,1,1,0,1,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Spirits,Malt Drinks",Cayman Jack174 Margarita Malt Beverage - 6pk / 11.2oz Bottles,5.0,"This Cayman Jack margarita is really good. I found it in a Southern California Target, but I can't find it in Northern California stores. :(",Deliciously Tangy,Food & Beverage,Beverages,Wine,Beer & Liquor,Spirits,Malt Drinks,0,0,1,1,0,1,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Beer,Food,Grocery",George Killian's174 Premium Irish Red - 6pk / 12oz Bottles,4.0,"I expected this beer to be on the bitter side the first time I tried it, but I still enjoyed its smooth taste. I'd definitely buy it if I get a chance.",Decent Beer For A Good Price,Food & Beverage,Beverages,Wine,Beer & Liquor,Beer,Food,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine,Red",Entwine174 Cabernet Sauvignon - 750ml Bottle,5.0,"Looked like a linear regulator from outside and no reviews on it so I ordered this puppy to put it to the test. definitely a switcher and fairly quiet. Well regulated Just like all of RM Italy products, great quality.",Looked like a linear regulator from outside and no reviews on ...,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,Red,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine,Target Finds",La Marca174 Prosecco - 750ml Bottle,5.0,"I love sparkling wine, but I find that most brands are sweet. I'm aging and no longer want the sweet stufd. This is medium body wine with strong bubbles (I love bubbles ) . The alcohol content offers a nice buzz fairly quickly. So ecstatic I found this brand and Target carries it.",Luv This Wine,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,Target Finds,0,0,1,0,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine,Food,Beer, Wine & Spirits,Grocery",Alamos174 Malbec - 750ml Bottle,5.0,I served this at my baby shower and everyone went crazy over it. It's an inexpensive gem.,,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,Food,1,0,1,1,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine,Food,Beer, Wine & Spirits",Bogle Vineyards174 Chardonnay - 750ml Bottle,5.0,This wine is full-bodied and delicious.,delicious,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,Food,1,0,1,1,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine,Food,Beer, Wine & Spirits",Black Box174 Cabernet Sauvignon - 3l Bottle,4.0,Super wine with fruity taste. As a regular wine drinker this is our routine wine of choice. Priced right with good taste.,Great wine for price,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,Food,1,0,1,1,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine,Food,Beer, Wine & Spirits",Black Box174 Cabernet Sauvignon - 3l Bottle,1.0,Had a taste of either being old or spoiled. Stick with the bottle.,Not worth the money!,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,Food,1,0,1,1,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Wine,Food,Beer, Wine & Spirits",Black Box174 Cabernet Sauvignon - 3l Bottle,5.0,This is our go-to wine for dinner parties. Better than most of the 10 bottles.,Nice Red,Food & Beverage,Beverages,Wine,Beer & Liquor,Wine,Food,1,0,1,1,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Spirits,Food,Beer, Wine & Spirits,Grocery",Jim Beam174 Bourbon Whiskey - 1.75l Bottle,5.0,"I have been enjoying Jim Beam Original for many years. I started mixing JB-O with Slice while wife and I watched Dallas. I have tried other whiskeys, but keep coming back to JB. Now I enjoy it mixed with Diet Pepsi (since I can no longer find Slice).",Always Have Jb Original On Hand,Food & Beverage,Beverages,Wine,Beer & Liquor,Spirits,Food,1,0,1,1,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Spirits,Food,Beer, Wine & Spirits,Grocery",Jim Beam174 Bourbon Whiskey - 1.75l Bottle,5.0,It goes great in apple cider,Yumm,Food & Beverage,Beverages,Wine,Beer & Liquor,Spirits,Food,1,0,1,1,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Spirits,Food,Beer, Wine & Spirits,Grocery",Jim Beam174 Bourbon Whiskey - 1.75l Bottle,5.0,"Consistent flavor and quality. JB with Dr. Pepper is surprisingly tasty. I highly recommend it. Love your commercials, too. Mila is doing you proud. Keep up the good work.",Always Consistent,Food & Beverage,Beverages,Wine,Beer & Liquor,Spirits,Food,1,0,1,1,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Spirits,Food,Beer, Wine & Spirits,Grocery",Jim Beam174 Bourbon Whiskey - 1.75l Bottle,5.0,A true classic of spirits...,A Drink That Stands Out; And Smooth As Well...,Food & Beverage,Beverages,Wine,Beer & Liquor,Spirits,Food,1,0,1,1,0,0,0,0
"Food & Beverage,Beverages,Wine, Beer & Liquor,Spirits,Food,Beer, Wine & Spirits,Grocery",Jim Beam174 Bourbon Whiskey - 1.75l Bottle,5.0,"I love this Bourbon as it is always my first choice when its time to unwind. Whether its Neat, On Rocks, With a Coke or Ginger Ale, or my Grandpa's Whiskey Sour, nothing tops Jim Beam!!!! Nothing!!!",Perfect & Versatile,Food & Beverage,Beverages,Wine,Beer & Liquor,Spirits,Food,1,0,1,1,0,0,0,0
